alert_id,detector,verdict,source,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_sec,notional_usd,balance_ratio,created_at
balanced_churn_1765170012361_human,balanced_churn,FP,human,,,,,10.569,62180.554578,0.199076,"2026-02-17 23:02:50"
balanced_churn_1765187566545_human,balanced_churn,FP,human,,,,,297.568,807237.761279,0.175902,"2026-02-17 23:03:11"
balanced_churn_1765206497624_human,balanced_churn,FP,human,,,,,299.908,1170335.268926,0.013033,"2026-02-17 23:03:20"
balanced_churn_1765226218671_human,balanced_churn,FP,human,,,,,296.684,325388.724414,0.199998,"2026-02-17 23:03:28"
balanced_churn_1765246295446_human,balanced_churn,FP,human,,,,,299.91,295582.812297,0.082619,"2026-02-17 23:03:36"
mirror_reversal_1765212337469_auto,mirror_reversal,FP,auto:obvious,3004.0,0.001003,0.011086,5.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765195832147_auto,mirror_reversal,FP,auto:obvious,3013.0,0.00103,0.010889,3.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765221668967_auto,mirror_reversal,FP,auto:obvious,3016.0,0.00098,0.011098,2.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765196201640_auto,mirror_reversal,FP,auto:obvious,3017.0,0.001041,0.010893,1.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765210085047_auto,mirror_reversal,FP,auto:obvious,3020.0,6.7e-05,0.066669,5.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765210085047_auto,mirror_reversal,FP,auto:obvious,3020.0,2.2e-05,0.088892,4.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765210085047_auto,mirror_reversal,FP,auto:obvious,3020.0,2.2e-05,0.111115,3.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765210085047_auto,mirror_reversal,FP,auto:obvious,3020.0,0.0,0.111115,5.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765210085047_auto,mirror_reversal,FP,auto:obvious,3020.0,4.5e-05,0.133338,4.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765210085047_auto,mirror_reversal,FP,auto:obvious,3020.0,0.0,0.155561,5.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765181510893_auto,mirror_reversal,FP,auto:obvious,3024.0,0.001008,0.010921,3.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765220100136_auto,mirror_reversal,FP,auto:obvious,3032.0,0.0,0.011101,3.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765240638935_auto,mirror_reversal,FP,auto:obvious,3033.0,0.000181,0.430721,2.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765203164981_auto,mirror_reversal,FP,auto:obvious,3034.0,0.00543,0.142081,4.0,,,,"2026-02-17 23:00:09"
mirror_reversal_1765187694222_auto,mirror_reversal,FP,auto:obvious,3037.0,0.001125,0.010881,2.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765192413908_auto,mirror_reversal,FP,auto:obvious,3039.0,0.000972,0.010858,1.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765196674984_auto,mirror_reversal,FP,auto:obvious,3047.0,0.001076,0.010888,5.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765246174468_auto,mirror_reversal,FP,auto:obvious,3047.0,9.0e-05,0.332788,5.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765197696590_auto,mirror_reversal,FP,auto:obvious,3048.0,0.0,0.021791,3.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765197790560_auto,mirror_reversal,FP,auto:obvious,3053.0,0.000971,0.228833,3.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765221532021_auto,mirror_reversal,FP,auto:obvious,3056.0,6.0e-05,0.310878,1.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765194827318_auto,mirror_reversal,FP,auto:obvious,3059.0,0.001032,0.010879,5.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765193611453_auto,mirror_reversal,FP,auto:obvious,3060.0,0.000951,0.076179,3.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765193681260_auto,mirror_reversal,FP,auto:obvious,3064.0,0.000985,0.010879,3.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765183416748_auto,mirror_reversal,FP,auto:obvious,3066.0,0.008259,0.010897,4.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765197715656_auto,mirror_reversal,FP,auto:obvious,3066.0,0.000765,0.010892,4.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765193760397_auto,mirror_reversal,FP,auto:obvious,3075.0,0.00092,0.010872,2.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765193589296_auto,mirror_reversal,FP,auto:obvious,3078.0,0.000951,0.010882,5.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765197671574_auto,mirror_reversal,FP,auto:obvious,3078.0,0.001102,0.010896,4.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765243445135_auto,mirror_reversal,FP,auto:obvious,3079.0,0.0,0.232034,4.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765198201185_auto,mirror_reversal,FP,auto:obvious,3081.0,0.001066,0.010891,1.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765240638935_auto,mirror_reversal,FP,auto:obvious,3084.0,0.000181,0.541165,3.0,,,,"2026-02-17 23:00:13"
