event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps
1767245340182_layering_cluster_4030,2026-01-01T05:29:00.182000+00:00,1767245340182,Jan-1-31,layering_cluster,4030,TP,0.8,Suspicious: 48 trades at sub-tick level (layering),,,,,56.687,,,,,0.011401
1767249760947_layering_cluster_9044,2026-01-01T06:42:40.947000+00:00,1767249760947,Jan-1-31,layering_cluster,9044,TP,0.8,Suspicious: 37 trades at sub-tick level (layering),,,,,53.082,,,,,0.011407
1767250816447_layering_cluster_9821,2026-01-01T07:00:16.447000+00:00,1767250816447,Jan-1-31,layering_cluster,9821,TP,0.8,Suspicious: 117 trades at sub-tick level (layering),,,,,58.413,,,,,0.057045
1767261914042_layering_cluster_26220,2026-01-01T10:05:14.042000+00:00,1767261914042,Jan-1-31,layering_cluster,26220,TP,0.8,Suspicious: 34 trades at sub-tick level (layering),,,,,59.301,,,,,0.011379
1767263693707_layering_cluster_28283,2026-01-01T10:34:53.707000+00:00,1767263693707,Jan-1-31,layering_cluster,28283,TP,0.7,Suspicious: dense cluster of 16 trades,,,,,54.328,,,,,0.011384
1767265071648_layering_cluster_29209,2026-01-01T10:57:51.648000+00:00,1767265071648,Jan-1-31,layering_cluster,29209,TP,0.7,Suspicious: dense cluster of 17 trades,,,,,58.758,,,,,0.011382
1767267154682_layering_cluster_32387,2026-01-01T11:32:34.682000+00:00,1767267154682,Jan-1-31,layering_cluster,32387,TP,0.75,Suspicious: 27 trades in 0.011bps range,,,,,57.434,,,,,0.01137
1767286821306_layering_cluster_70793,2026-01-01T17:00:21.306000+00:00,1767286821306,Jan-1-31,layering_cluster,70793,TP,0.8,Suspicious: 204 trades at sub-tick level (layering),,,,,59.158,,,,,0.011364
1767287081325_layering_cluster_71115,2026-01-01T17:04:41.325000+00:00,1767287081325,Jan-1-31,layering_cluster,71115,TP,0.7,Borderline but tight range (0.0114bps) = likely layering,,,,,59.035,,,,,0.011366
1767287396312_layering_cluster_71416,2026-01-01T17:09:56.312000+00:00,1767287396312,Jan-1-31,layering_cluster,71416,TP,0.7,Suspicious: dense cluster of 19 trades,,,,,57.361,,,,,0.011364
1767295945154_layering_cluster_93089,2026-01-01T19:32:25.154000+00:00,1767295945154,Jan-1-31,layering_cluster,93089,TP,0.7,Borderline but tight range (0.0113bps) = likely layering,,,,,50.607,,,,,0.011342
1767296834199_layering_cluster_94993,2026-01-01T19:47:14.199000+00:00,1767296834199,Jan-1-31,layering_cluster,94993,TP,0.8,Suspicious: 62 trades at sub-tick level (layering),,,,,51.726,,,,,0.011324
