event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key,review_verdict,review_notes
1768463244622_mirror_reversal_49376_49380,2026-01-15T07:47:24.622000+00:00,1768463244622,Jan-1-31,mirror_reversal,49376_49380,TP,0.95,Ultra-fast (2ms) + similar amount = wash,2.0,0.0912,0.020701,4.0,,,,,,,False,True,False,False,False,False,,
1767362256386_mirror_reversal_133384_133388,2026-01-02T13:57:36.386000+00:00,1767362256386,Jan-1-31,mirror_reversal,133384_133388,TP,0.95,Ultra-fast (7ms) + similar amount = wash,7.0,0.0,0.0,4.0,,,,,,,False,True,False,False,False,False,,
1767770621793_mirror_reversal_29808_29812,2026-01-07T07:23:41.793000+00:00,1767770621793,Jan-1-31,mirror_reversal,29808_29812,TP,0.85,Under 2.9s (1200ms) = wash (user-learned),1200.0,0.0,0.010777,4.0,,,,,,,False,False,False,False,False,False,,
1769191206139_mirror_reversal_192334_192337,2026-01-23T18:00:06.139000+00:00,1769191206139,Jan-1-31,mirror_reversal,192334_192337,TP,0.95,Ultra-fast (13ms) + similar amount = wash,13.0,0.6052,0.011038,3.0,,,,,,,False,True,False,False,False,False,,
1767858989881_mirror_reversal_58037_58038,2026-01-08T07:56:29.881000+00:00,1767858989881,Jan-1-31,mirror_reversal,58037_58038,TP,0.95,Ultra-fast (0ms) + similar amount = wash,0.0,0.009,0.507893,1.0,,,,,,,False,True,False,False,False,False,,
1767947056082_mirror_reversal_42666_42669,2026-01-09T08:24:16.082000+00:00,1767947056082,Jan-1-31,mirror_reversal,42666_42669,TP,0.95,Ultra-fast (10ms) + similar amount = wash,10.0,0.0,0.242168,3.0,,,,,,,False,True,False,False,False,False,,
1769800995197_mirror_reversal_283501_283505,2026-01-30T19:23:15.197000+00:00,1769800995197,Jan-1-31,mirror_reversal,283501_283505,TP,0.95,Ultra-fast (81ms) + similar amount = wash,81.0,0.0,0.011844,4.0,,,,,,,False,True,False,False,False,False,,
1768566985069_mirror_reversal_82595_82596,2026-01-16T12:36:25.069000+00:00,1768566985069,Jan-1-31,mirror_reversal,82595_82596,TP,0.95,Ultra-fast (2ms) + similar amount = wash,2.0,0.2006,0.010477,1.0,,,,,,,False,True,False,False,False,False,,
1768493972784_mirror_reversal_204982_204983,2026-01-15T16:19:32.784000+00:00,1768493972784,Jan-1-31,mirror_reversal,204982_204983,TP,0.85,Under 2.9s (144ms) = wash (user-learned),144.0,0.0,0.010378,1.0,,,,,,,False,False,False,False,False,False,,
1769797842942_mirror_reversal_259633_259636,2026-01-30T18:30:42.942000+00:00,1769797842942,Jan-1-31,mirror_reversal,259633_259636,TP,0.95,Ultra-fast (9ms) + similar amount = wash,9.0,0.0,0.885073,3.0,,,,,,,False,True,False,False,False,False,,
1768787482443_mirror_reversal_203164_203168,2026-01-19T01:51:22.443000+00:00,1768787482443,Jan-1-31,mirror_reversal,203164_203168,TP,0.85,Under 2.9s (1088ms) = wash (user-learned),1088.0,0.0018,0.0,4.0,,,,,,,False,False,False,False,False,False,,
1768537892713_mirror_reversal_394674_394676,2026-01-16T04:31:32.713000+00:00,1768537892713,Jan-1-31,mirror_reversal,394674_394676,TP,0.95,Ultra-fast (11ms) + similar amount = wash,11.0,0.0,0.010481,2.0,,,,,,,False,True,False,False,False,False,,
1767326067125_mirror_reversal_186077_186081,2026-01-02T03:54:27.125000+00:00,1767326067125,Jan-1-31,mirror_reversal,186077_186081,TP,0.95,Ultra-fast (6ms) + similar amount = wash,6.0,0.0,0.0,4.0,,,,,,,False,True,False,False,False,False,,
1768613125066_mirror_reversal_271664_271665,2026-01-17T01:25:25.066000+00:00,1768613125066,Jan-1-31,mirror_reversal,271664_271665,TP,0.95,Ultra-fast (2ms) + similar amount = wash,2.0,0.2007,0.010472,1.0,,,,,,,False,True,False,False,False,False,,
1767958506458_mirror_reversal_93044_93049,2026-01-09T11:35:06.458000+00:00,1767958506458,Jan-1-31,mirror_reversal,93044_93049,TP,0.85,Under 2.9s (367ms) = wash (user-learned),367.0,0.0,0.011042,5.0,,,,,,,False,False,False,False,False,False,,
1767709908441_mirror_reversal_136878_136883,2026-01-06T14:31:48.441000+00:00,1767709908441,Jan-1-31,mirror_reversal,136878_136883,TP,0.85,Under 2.9s (388ms) = wash (user-learned),388.0,0.0,0.04246,5.0,,,,,,,False,False,False,False,False,False,,
1767367671992_mirror_reversal_169553_169557,2026-01-02T15:27:51.992000+00:00,1767367671992,Jan-1-31,mirror_reversal,169553_169557,TP,0.95,Ultra-fast (9ms) + similar amount = wash,9.0,0.0,0.089792,4.0,,,,,,,False,True,False,False,False,False,,
1767359242643_mirror_reversal_120533_120537,2026-01-02T13:07:22.643000+00:00,1767359242643,Jan-1-31,mirror_reversal,120533_120537,TP,0.95,Ultra-fast (6ms) + similar amount = wash,6.0,0.0,0.011176,4.0,,,,,,,False,True,False,False,False,False,,
1768430402750_mirror_reversal_361187_361191,2026-01-14T22:40:02.750000+00:00,1768430402750,Jan-1-31,mirror_reversal,361187_361191,TP,0.95,Ultra-fast (12ms) + similar amount = wash,12.0,0.0,0.319354,4.0,,,,,,,False,True,False,False,False,False,,
1769360406904_mirror_reversal_103615_103617,2026-01-25T17:00:06.904000+00:00,1769360406904,Jan-1-31,mirror_reversal,103615_103617,TP,0.85,Under 2.9s (700ms) = wash (user-learned),700.0,0.0062,0.011349,2.0,,,,,,,False,False,False,False,False,False,,
1768412675464_mirror_reversal_248141_248142,2026-01-14T17:44:35.464000+00:00,1768412675464,Jan-1-31,mirror_reversal,248141_248142,TP,0.95,Ultra-fast (3ms) + similar amount = wash,3.0,0.0018,0.0,1.0,,,,,,,False,True,False,False,False,False,,
1767944181184_mirror_reversal_28032_28035,2026-01-09T07:36:21.184000+00:00,1767944181184,Jan-1-31,mirror_reversal,28032_28035,TP,0.95,Ultra-fast (88ms) + similar amount = wash,88.0,0.0,0.230848,3.0,,,,,,,False,True,False,False,False,False,,
1769835907273_mirror_reversal_955_957,2026-01-31T05:05:07.273000+00:00,1769835907273,Jan-1-31,mirror_reversal,955_957,TP,0.95,Ultra-fast (51ms) + similar amount = wash,51.0,0.0027,0.333498,2.0,,,,,,,False,True,False,False,False,False,,
1769798296952_mirror_reversal_263145_263146,2026-01-30T18:38:16.952000+00:00,1769798296952,Jan-1-31,mirror_reversal,263145_263146,TP,0.95,Ultra-fast (14ms) + similar amount = wash,14.0,0.0,0.5458,1.0,,,,,,,False,True,False,False,False,False,,
1769912272706_mirror_reversal_397451_397454,2026-02-01T02:17:52.706000+00:00,1769912272706,Jan-1-31,mirror_reversal,397451_397454,TP,0.85,Under 2.9s (2146ms) = wash (user-learned),2146.0,0.0025,0.228431,3.0,,,,,,,False,False,False,False,False,False,,
1768199002563_mirror_reversal_15523_15524,2026-01-12T06:23:22.563000+00:00,1768199002563,Jan-1-31,mirror_reversal,15523_15524,TP,0.95,Ultra-fast (7ms) + similar amount = wash,7.0,0.0018,0.0,1.0,,,,,,,False,True,False,False,False,False,,
1768115461672_mirror_reversal_12383_12387,2026-01-11T07:11:01.672000+00:00,1768115461672,Jan-1-31,mirror_reversal,12383_12387,TP,0.85,Under 2.9s (366ms) = wash (user-learned),366.0,0.0037,0.022054,4.0,,,,,,,False,False,False,False,False,False,,
1767830318947_mirror_reversal_336956_336959,2026-01-07T23:58:38.947000+00:00,1767830318947,Jan-1-31,mirror_reversal,336956_336959,TP,0.85,Under 2.9s (2017ms) = wash (user-learned),2017.0,0.1008,0.010942,3.0,,,,,,,False,False,False,False,False,False,,
1769444721743_mirror_reversal_132795_132797,2026-01-26T16:25:21.743000+00:00,1769444721743,Jan-1-31,mirror_reversal,132795_132797,TP,0.85,Under 2.9s (375ms) = wash (user-learned),375.0,0.0152,0.091093,2.0,,,,,,,False,False,False,False,False,False,,
1768302286445_mirror_reversal_100410_100412,2026-01-13T11:04:46.445000+00:00,1768302286445,Jan-1-31,mirror_reversal,100410_100412,TP,0.85,Under 2.9s (2034ms) = wash (user-learned),2034.0,0.0891,0.010863,2.0,,,,,,,False,False,False,False,False,False,,
1769484404270_mirror_reversal_254615_254618,2026-01-27T03:26:44.270000+00:00,1769484404270,Jan-1-31,mirror_reversal,254615_254618,TP,0.85,Under 2.9s (2469ms) = wash (user-learned),2469.0,0.0986,0.011271,3.0,,,,,,,False,False,False,False,False,False,,
1767263585636_mirror_reversal_28214_28215,2026-01-01T10:33:05.636000+00:00,1767263585636,Jan-1-31,mirror_reversal,28214_28215,TP,0.85,Under 2.9s (534ms) = wash (user-learned),534.0,0.0,0.011384,1.0,,,,,,,False,False,False,False,False,False,,
1767369440434_mirror_reversal_182163_182166,2026-01-02T15:57:20.434000+00:00,1767369440434,Jan-1-31,mirror_reversal,182163_182166,TP,0.95,Ultra-fast (6ms) + similar amount = wash,6.0,0.0,0.0,3.0,,,,,,,False,True,False,False,False,False,,
1768618885162_mirror_reversal_284403_284404,2026-01-17T03:01:25.162000+00:00,1768618885162,Jan-1-31,mirror_reversal,284403_284404,TP,0.95,Ultra-fast (2ms) + similar amount = wash,2.0,0.2004,0.010487,1.0,,,,,,,False,True,False,False,False,False,,
1768186903687_mirror_reversal_220606_220607,2026-01-12T03:01:43.687000+00:00,1768186903687,Jan-1-31,mirror_reversal,220606_220607,TP,0.85,Under 2.9s (2160ms) = wash (user-learned),2160.0,0.0971,0.010841,1.0,,,,,,,False,False,False,False,False,False,,
1767365685289_mirror_reversal_155256_155259,2026-01-02T14:54:45.289000+00:00,1767365685289,Jan-1-31,mirror_reversal,155256_155259,TP,0.95,Ultra-fast (7ms) + similar amount = wash,7.0,0.0,0.635479,3.0,,,,,,,False,True,False,False,False,False,,
1768426802325_mirror_reversal_342982_342987,2026-01-14T21:40:02.325000+00:00,1768426802325,Jan-1-31,mirror_reversal,342982_342987,TP,0.95,Ultra-fast (12ms) + similar amount = wash,12.0,0.0,0.245777,5.0,,,,,,,False,True,False,False,False,False,,
1768452400969_mirror_reversal_470726_470729,2026-01-15T04:46:40.969000+00:00,1768452400969,Jan-1-31,mirror_reversal,470726_470729,TP,0.85,Under 2.9s (2533ms) = wash (user-learned),2533.0,0.0,0.010391,3.0,,,,,,,False,False,False,False,False,False,,
