event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps
1770181180605_mirror_reversal_51_53,2026-02-04T04:59:40.605000+00:00,1770181180605,Feb-4-6,mirror_reversal,51_53,TP,0.85,Under 2.9s (820ms) = wash (user-learned),820,0.457,0.431374,2,,,,,,
1770181186032_mirror_reversal_64_69,2026-02-04T04:59:46.032000+00:00,1770181186032,Feb-4-6,mirror_reversal,64_69,TP,0.85,Under 2.9s (1886ms) = wash (user-learned),1886,0.457,0.274538,5,,,,,,
1770181186032_mirror_reversal_66_69,2026-02-04T04:59:46.032000+00:00,1770181186032,Feb-4-6,mirror_reversal,66_69,TP,0.85,Under 2.9s (437ms) = wash (user-learned),437,0.457,0.274538,3,,,,,,
1770181187117_mirror_reversal_69_72,2026-02-04T04:59:47.117000+00:00,1770181187117,Feb-4-6,mirror_reversal,69_72,TP,0.85,Under 2.9s (1085ms) = wash (user-learned),1085,0.457,0.117662,3,,,,,,
1770181244779_mirror_reversal_402_407,2026-02-04T05:00:44.779000+00:00,1770181244779,Feb-4-6,mirror_reversal,402_407,TP,0.85,Under 2.9s (2047ms) = wash (user-learned),2047,0.457,0.418303,5,,,,,,
1770181244779_mirror_reversal_404_407,2026-02-04T05:00:44.779000+00:00,1770181244779,Feb-4-6,mirror_reversal,404_407,TP,0.85,Under 2.9s (419ms) = wash (user-learned),419,0.457,0.418303,3,,,,,,
1770181253935_mirror_reversal_428_431,2026-02-04T05:00:53.935000+00:00,1770181253935,Feb-4-6,mirror_reversal,428_431,TP,0.85,Under 2.9s (1709ms) = wash (user-learned),1709,0.8642,0.013073,3,,,,,,
1770181254248_mirror_reversal_430_434,2026-02-04T05:00:54.248000+00:00,1770181254248,Feb-4-6,mirror_reversal,430_434,TP,0.85,Under 2.9s (1011ms) = wash (user-learned),1011,0.457,0.274538,4,,,,,,
1770181254250_mirror_reversal_430_435,2026-02-04T05:00:54.250000+00:00,1770181254250,Feb-4-6,mirror_reversal,430_435,TP,0.85,Under 2.9s (1013ms) = wash (user-learned),1013,0.457,0.719045,5,,,,,,
1770181254701_mirror_reversal_434_438,2026-02-04T05:00:54.701000+00:00,1770181254701,Feb-4-6,mirror_reversal,434_438,TP,0.85,Under 2.9s (453ms) = wash (user-learned),453,0.457,0.509877,4,,,,,,
